SN	X	Y
65	1.280000000000000027e-01	1.091589344358391500e+00
66	1.300000000000000044e-01	1.093744333162063764e+00
67	1.320000000000000062e-01	1.095915963217808597e+00
68	1.340000000000000080e-01	1.098104107966995979e+00
69	1.360000000000000098e-01	1.100308643695346644e+00
70	1.380000000000000115e-01	1.102529449427957164e+00
71	1.400000000000000133e-01	1.104766406829670311e+00
72	1.420000000000000151e-01	1.107019400110447194e+00
73	1.440000000000000169e-01	1.109288315935419211e+00
74	1.459999999999999909e-01	1.111573043339329825e+00
75	1.479999999999999927e-01	1.113873473645094370e+00
76	1.499999999999999944e-01	1.116189500386222555e+00
77	1.519999999999999962e-01	1.118521019232876945e+00
78	1.539999999999999980e-01	1.120867927921347373e+00
79	1.559999999999999998e-01	1.123230126186740563e+00
80	1.580000000000000016e-01	1.125607515698703320e+00
81	1.600000000000000033e-01	1.128000000000000114e+00
82	1.620000000000000051e-01	1.130407484447787825e+00
83	1.640000000000000069e-01	1.132829876157436910e+00
84	1.660000000000000087e-01	1.135267083948756639e+00
85	1.680000000000000104e-01	1.137719018294496953e+00
86	1.700000000000000122e-01	1.140185591271000387e+00
87	1.720000000000000140e-01	1.142666716510894798e+00
88	1.740000000000000158e-01	1.145162309157714997e+00
89	1.759999999999999898e-01	1.147672285822357363e+00
90	1.779999999999999916e-01	1.150196564541270394e+00
91	1.799999999999999933e-01	1.152735064736294168e+00
92	1.819999999999999951e-01	1.155287707176067213e+00
93	1.839999999999999969e-01	1.157854413938920413e+00
94	1.859999999999999987e-01	1.160435108377187774e+00
95	1.880000000000000004e-01	1.163029715082864568e+00
96	1.900000000000000022e-01	1.165638159854545552e+00
97	1.920000000000000040e-01	1.168260369665587106e+00
98	1.940000000000000058e-01	1.170896272633431101e+00
99	1.960000000000000075e-01	1.173545797990040551e+00
100	1.980000000000000093e-01	1.176208876053392860e+00
101	2.000000000000000111e-01	1.178885438199983149e+00
102	2.020000000000000129e-01	1.181575416838293480e+00
103	2.040000000000000147e-01	1.184278745383183118e+00
104	2.060000000000000164e-01	1.186995358231160314e+00
105	2.080000000000000182e-01	1.189725190736496518e+00
106	2.099999999999999922e-01	1.192468179188145294e+00
107	2.119999999999999940e-01	1.195224260787433934e+00
108	2.139999999999999958e-01	1.197993373626492941e+00
109	2.159999999999999976e-01	1.200775456667392493e+00
110	2.179999999999999993e-01	1.203570449721957480e+00
111	2.200000000000000011e-01	1.206378293432230908e+00
112	2.220000000000000029e-01	1.209198929251561916e+00
113	2.240000000000000047e-01	1.212032299426290205e+00
114	2.260000000000000064e-01	1.214878346978005119e+00
115	2.280000000000000082e-01	1.217737015686354951e+00
116	2.300000000000000100e-01	1.220608250072385159e+00
117	2.320000000000000118e-01	1.223491995382385067e+00
118	2.340000000000000135e-01	1.226388197572223282e+00
119	2.360000000000000153e-01	1.229296803292152296e+00
120	2.380000000000000171e-01	1.232217759872064944e+00
121	2.399999999999999911e-01	1.235151015307184963e+00
122	2.419999999999999929e-01	1.238096518244177657e+00
123	2.439999999999999947e-01	1.241054217967659801e+00
124	2.459999999999999964e-01	1.244024064387101003e+00
125	2.479999999999999982e-01	1.247006008024096335e+00
126	2.500000000000000000e-01	1.250000000000000000e+00
127	2.520000000000000018e-01	1.253005992023904502e+00
128	2.540000000000000036e-01	1.256023936380956441e+00
129	2.560000000000000053e-01	1.259053785920993596e+00
130	2.580000000000000071e-01	1.262095494047493993e+00
131	2.600000000000000089e-01	1.265149014706824726e+00
132	2.620000000000000107e-01	1.268214302377781433e+00
133	2.640000000000000124e-01	1.271291312061407552e+00
134	2.660000000000000142e-01	1.274379999271083808e+00
135	2.680000000000000160e-01	1.277480320022880145e+00
136	2.700000000000000178e-01	1.280592230826158140e+00
137	2.720000000000000195e-01	1.283715688674419209e+00
138	2.740000000000000213e-01	1.286850651036388626e+00
139	2.760000000000000231e-01	1.289997075847326480e+00
140	2.780000000000000249e-01	1.293154921500560883e+00
141	2.800000000000000266e-01	1.296324146839234137e+00
142	2.820000000000000284e-01	1.299504711148255609e+00
143	2.840000000000000302e-01	1.302696574146454456e+00
144	2.860000000000000320e-01	1.305899695978927078e+00
145	2.880000000000000338e-01	1.309114037209571091e+00
146	2.899999999999999800e-01	1.312339558813801155e+00
147	2.919999999999999818e-01	1.315576222171443099e+00
148	2.939999999999999836e-01	1.318823989059794588e+00
149	2.959999999999999853e-01	1.322082821646855200e+00
150	2.979999999999999871e-01	1.325352682484715272e+00
151	2.999999999999999889e-01	1.328633534503099511e+00
152	3.019999999999999907e-01	1.331925341003063590e+00
153	3.039999999999999925e-01	1.335228065650834184e+00
154	3.059999999999999942e-01	1.338541672471794897e+00
155	3.079999999999999960e-01	1.341866125844606072e+00
156	3.099999999999999978e-01	1.345201390495461391e+00
157	3.119999999999999996e-01	1.348547431492472803e+00
158	3.140000000000000013e-01	1.351904214240182256e+00
159	3.160000000000000031e-01	1.355271704474195316e+00
160	3.180000000000000049e-01	1.358649868255935589e+00
161	3.200000000000000067e-01	1.362038671967512382e+00
162	3.220000000000000084e-01	1.365438082306702050e+00
163	3.240000000000000102e-01	1.368848066282039699e+00
164	3.260000000000000120e-01	1.372268591208014810e+00
165	3.280000000000000138e-01	1.375699624700371437e+00
166	3.300000000000000155e-01	1.379141134671509894e+00
167	3.320000000000000173e-01	1.382593089325983460e+00
168	3.340000000000000191e-01	1.386055457156093018e+00
169	3.360000000000000209e-01	1.389528206937572063e+00
170	3.380000000000000226e-01	1.393011307725362968e+00
171	3.400000000000000244e-01	1.396504728849480514e+00
172	3.420000000000000262e-01	1.400008439910959801e+00
173	3.440000000000000280e-01	1.403522410777889862e+00
174	3.460000000000000298e-01	1.407046611581523887e+00
175	3.480000000000000315e-01	1.410581012712473159e+00
176	3.500000000000000333e-01	1.414125584816973147e+00
177	3.519999999999999796e-01	1.417680298793227767e+00
178	3.539999999999999813e-01	1.421245125787824470e+00
179	3.559999999999999831e-01	1.424820037192220834e+00
180	3.579999999999999849e-01	1.428405004639301534e+00
181	3.599999999999999867e-01	1.431999999999999940e+00
182	3.619999999999999885e-01	1.435604995379988758e+00
183	3.639999999999999902e-01	1.439219963116432188e+00
184	3.659999999999999920e-01	1.442844875774802249e+00
185	3.679999999999999938e-01	1.446479706145755273e+00
186	3.699999999999999956e-01	1.450124427242068137e+00
187	3.719999999999999973e-01	1.453779012295632667e+00
188	3.739999999999999991e-01	1.457443434754505995e+00
189	3.760000000000000009e-01	1.461117668280017323e+00
190	3.780000000000000027e-01	1.464801686743927522e+00
191	3.800000000000000044e-01	1.468495464225642255e+00
192	3.820000000000000062e-01	1.472198975009476385e+00
193	3.840000000000000080e-01	1.475912193581967458e+00
194	3.860000000000000098e-01	1.479635094629240033e+00
195	3.880000000000000115e-01	1.483367653034416422e+00
196	3.900000000000000133e-01	1.487109843875075166e+00
197	3.920000000000000151e-01	1.490861642420753919e+00
198	3.940000000000000169e-01	1.494623024130498745e+00
199	3.960000000000000187e-01	1.498393964650456045e+00
200	3.980000000000000204e-01	1.502174439811506224e+00
201	4.000000000000000222e-01	1.505964425626940884e+00
202	4.020000000000000240e-01	1.509763898290179096e+00
203	4.040000000000000258e-01	1.513572834172525194e+00
204	4.060000000000000275e-01	1.517391209820963205e+00
205	4.080000000000000293e-01	1.521219001955991690e+00
206	4.100000000000000311e-01	1.525056187469493674e+00
207	4.120000000000000329e-01	1.528902743422644761e+00
208	4.140000000000000346e-01	1.532758647043856115e+00
209	4.160000000000000364e-01	1.536623875726751631e+00
210	4.179999999999999827e-01	1.540498407028179972e+00
211	4.199999999999999845e-01	1.544382218666260354e+00
212	4.219999999999999862e-01	1.548275288518459414e+00
213	4.239999999999999880e-01	1.552177594619702061e+00
214	4.259999999999999898e-01	1.556089115160510961e+00
215	4.279999999999999916e-01	1.560009828485179328e+00
216	4.299999999999999933e-01	1.563939713089971928e+00
217	4.319999999999999951e-01	1.567878747621356261e+00
218	4.339999999999999969e-01	1.571826910874261074e+00
219	4.359999999999999987e-01	1.575784181790365057e+00
220	4.380000000000000004e-01	1.579750539456411307e+00
221	4.400000000000000022e-01	1.583725963102550427e+00
222	4.420000000000000040e-01	1.587710432100707170e+00
223	4.440000000000000058e-01	1.591703925962976829e+00
224	4.460000000000000075e-01	1.595706424340043394e+00
225	4.480000000000000093e-01	1.599717907019625240e+00
226	4.500000000000000111e-01	1.603738353924943238e+00
227	4.520000000000000129e-01	1.607767745113213520e+00
228	4.540000000000000147e-01	1.611806060774163996e+00
229	4.560000000000000164e-01	1.615853281228573302e+00
230	4.580000000000000182e-01	1.619909386926831507e+00
231	4.600000000000000200e-01	1.623974358447524580e+00
232	4.620000000000000218e-01	1.628048176496039279e+00
233	4.640000000000000235e-01	1.632130821903188034e+00
234	4.660000000000000253e-01	1.636222275623857803e+00
235	4.680000000000000271e-01	1.640322518735676027e+00
236	4.700000000000000289e-01	1.644431532437698351e+00
237	4.720000000000000306e-01	1.648549298049115208e+00
238	4.740000000000000324e-01	1.652675797007978620e+00
239	4.760000000000000342e-01	1.656811010869945866e+00
240	4.780000000000000360e-01	1.660954921307043364e+00
241	4.799999999999999822e-01	1.665107510106448974e+00
242	4.819999999999999840e-01	1.669268759169289185e+00
243	4.839999999999999858e-01	1.673438650509458059e+00
244	4.859999999999999876e-01	1.677617166252449721e+00
245	4.879999999999999893e-01	1.681804288634209055e+00
246	4.899999999999999911e-01	1.685999999999999943e+00
247	4.919999999999999929e-01	1.690204282803287050e+00
248	4.939999999999999947e-01	1.694417119604636479e+00
249	4.959999999999999964e-01	1.698638493070629529e+00
250	4.979999999999999982e-01	1.702868385972793774e+00
251	5.000000000000000000e-01	1.707106781186547462e+00
252	5.020000000000000018e-01	1.711353661690161010e+00
253	5.040000000000000036e-01	1.715609010563729608e+00
254	5.060000000000000053e-01	1.719872810988163359e+00
255	5.080000000000000071e-01	1.724145046244189849e+00
256	5.100000000000000089e-01	1.728425699711370722e+00
257	5.120000000000000107e-01	1.732714754867131113e+00
258	5.140000000000000124e-01	1.737012195285803973e+00
259	5.160000000000000142e-01	1.741318004637685934e+00
260	5.180000000000000160e-01	1.745632166688106501e+00
261	5.200000000000000178e-01	1.749954665296509670e+00
262	5.220000000000000195e-01	1.754285484415549323e+00
263	5.240000000000000213e-01	1.758624608090193719e+00
264	5.260000000000000231e-01	1.762972020456844868e+00
265	5.280000000000000249e-01	1.767327705742468336e+00
266	5.300000000000000266e-01	1.771691648263735042e+00
267	5.320000000000000284e-01	1.776063832426173494e+00
268	5.340000000000000302e-01	1.780444242723335124e+00
269	5.360000000000000320e-01	1.784832863735967834e+00
270	5.380000000000000338e-01	1.789229680131202427e+00
271	5.400000000000000355e-01	1.793634676661749694e+00
272	5.420000000000000373e-01	1.798047838165106604e+00
273	5.440000000000000391e-01	1.802469149562773154e+00
274	5.460000000000000409e-01	1.806898595859479872e+00
275	5.480000000000000426e-01	1.811336162142425543e+00
276	5.500000000000000444e-01	1.815781833580523141e+00
277	5.520000000000000462e-01	1.820235595423656427e+00
278	5.540000000000000480e-01	1.824697433001946534e+00
279	5.560000000000000497e-01	1.829167331725026546e+00
280	5.580000000000000515e-01	1.833645277081325631e+00
281	5.600000000000000533e-01	1.838131254637362932e+00
282	5.620000000000000551e-01	1.842625250037049467e+00
283	5.640000000000000568e-01	1.847127249000998894e+00
284	5.660000000000000586e-01	1.851637237325846508e+00
285	5.680000000000000604e-01	1.856155200883578216e+00
286	5.700000000000000622e-01	1.860681125620865739e+00
287	5.720000000000000639e-01	1.865214997558410470e+00
288	5.740000000000000657e-01	1.869756802790297545e+00
289	5.760000000000000675e-01	1.874306527483353690e+00
290	5.779999999999999583e-01	1.878864157876517282e+00
291	5.799999999999999600e-01	1.883429680280213292e+00
292	5.819999999999999618e-01	1.888003081075735778e+00
293	5.839999999999999636e-01	1.892584346714639487e+00
294	5.859999999999999654e-01	1.897173463718137221e+00
295	5.879999999999999671e-01	1.901770418676505425e+00
296	5.899999999999999689e-01	1.906375198248495551e+00
297	5.919999999999999707e-01	1.910987789160754957e+00
298	5.939999999999999725e-01	1.915608178207250489e+00
299	5.959999999999999742e-01	1.920236352248703593e+00
300	5.979999999999999760e-01	1.924872298212028765e+00
301	5.999999999999999778e-01	1.929516003089779996e+00
302	6.019999999999999796e-01	1.934167453939602765e+00
303	6.039999999999999813e-01	1.938826637883693582e+00
304	6.059999999999999831e-01	1.943493542108264638e+00
305	6.079999999999999849e-01	1.948168153863016006e+00
306	6.099999999999999867e-01	1.952850460460611837e+00
307	6.119999999999999885e-01	1.957540449276164995e+00
308	6.139999999999999902e-01	1.962238107746725913e+00
309	6.159999999999999920e-01	1.966943423370778099e+00
310	6.179999999999999938e-01	1.971656383707738547e+00
311	6.199999999999999956e-01	1.976376976377464567e+00
312	6.219999999999999973e-01	1.981105189059766403e+00
313	6.239999999999999991e-01	1.985841009493924503e+00
314	6.260000000000000009e-01	1.990584425478212349e+00
315	6.280000000000000027e-01	1.995335424869425722e+00
316	6.300000000000000044e-01	2.000093995582415296e+00
317	6.320000000000000062e-01	2.004860125589626563e+00
318	6.340000000000000080e-01	2.009633802920642864e+00
319	6.360000000000000098e-01	2.014415015661735975e+00
320	6.380000000000000115e-01	2.019203751955417125e+00
321	6.400000000000000133e-01	2.024000000000000021e+00
322	6.420000000000000151e-01	2.028803748049160305e+00
323	6.440000000000000169e-01	2.033614984411507010e+00
324	6.460000000000000187e-01	2.038433697450154902e+00
325	6.480000000000000204e-01	2.043259875582301710e+00
326	6.500000000000000222e-01	2.048093507278811565e+00
327	6.520000000000000240e-01	2.052934581063800223e+00
328	6.540000000000000258e-01	2.057783085514227839e+00
329	6.560000000000000275e-01	2.062639009259494394e+00
330	6.580000000000000293e-01	2.067502340981040021e+00
331	6.600000000000000311e-01	2.072373069411947100e+00
332	6.620000000000000329e-01	2.077251183336551676e+00
333	6.640000000000000346e-01	2.082136671590054000e+00
334	6.660000000000000364e-01	2.087029523058136604e+00
335	6.680000000000000382e-01	2.091929726676584167e+00
336	6.700000000000000400e-01	2.096837271430908700e+00
337	6.720000000000000417e-01	2.101752146355976070e+00
338	6.740000000000000435e-01	2.106674340535643175e+00
339	6.760000000000000453e-01	2.111603843102388911e+00
340	6.780000000000000471e-01	2.116540643236958452e+00
341	6.800000000000000488e-01	2.121484730168003985e+00
342	6.820000000000000506e-01	2.126436093171734321e+00
343	6.840000000000000524e-01	2.131394721571565398e+00
344	6.860000000000000542e-01	2.136360604737774338e+00
345	6.880000000000000560e-01	2.141333732087157937e+00
346	6.900000000000000577e-01	2.146314093082694718e+00
347	6.920000000000000595e-01	2.151301677233209197e+00
348	6.940000000000000613e-01	2.156296474093041482e+00
349	6.960000000000000631e-01	2.161298473261719089e+00
350	6.980000000000000648e-01	2.166307664383630982e+00
351	7.000000000000000666e-01	2.171324037147705610e+00
352	7.020000000000000684e-01	2.176347581287095601e+00
353	7.039999999999999591e-01	2.181378286578858905e+00
354	7.059999999999999609e-01	2.186416142843648380e+00
355	7.079999999999999627e-01	2.191461139945403147e+00
356	7.099999999999999645e-01	2.196513267791043056e+00
357	7.119999999999999662e-01	2.201572516330163154e+00
358	7.139999999999999680e-01	2.206638875554737034e+00
359	7.159999999999999698e-01	2.211712335498817961e+00
360	7.179999999999999716e-01	2.216792886238245330e+00
361	7.199999999999999734e-01	2.221880517890354234e+00
362	7.219999999999999751e-01	2.226975220613684581e+00
363	7.239999999999999769e-01	2.232076984607698655e+00
364	7.259999999999999787e-01	2.237185800112497347e+00
365	7.279999999999999805e-01	2.242301657408537707e+00
366	7.299999999999999822e-01	2.247424546816359836e+00
367	7.319999999999999840e-01	2.252554458696307549e+00
368	7.339999999999999858e-01	2.257691383448260591e+00
369	7.359999999999999876e-01	2.262835311511362413e+00
370	7.379999999999999893e-01	2.267986233363753712e+00
371	7.399999999999999911e-01	2.273144139522308649e+00
372	7.419999999999999929e-01	2.278309020542372387e+00
373	7.439999999999999947e-01	2.283480867017502192e+00
374	7.459999999999999964e-01	2.288659669579210743e+00
375	7.479999999999999982e-01	2.293845418896708566e+00
376	7.500000000000000000e-01	2.299038105676658006e+00
377	7.520000000000000018e-01	2.304237720662916544e+00
378	7.540000000000000036e-01	2.309444254636294325e+00
379	7.560000000000000053e-01	2.314657698414305909e+00
380	7.580000000000000071e-01	2.319878042850929578e+00
381	7.600000000000000089e-01	2.325105278836364864e+00
382	7.620000000000000107e-01	2.330339397296794957e+00
383	7.640000000000000124e-01	2.335580389194150897e+00
384	7.660000000000000142e-01	2.340828245525876206e+00
385	7.680000000000000160e-01	2.346082957324695961e+00
386	7.700000000000000178e-01	2.351344515658386758e+00
387	7.720000000000000195e-01	2.356612911629548002e+00
388	7.740000000000000213e-01	2.361888136375378089e+00
389	7.760000000000000231e-01	2.367170181067448809e+00
390	7.780000000000000249e-01	2.372459036911484631e+00
391	7.800000000000000266e-01	2.377754695147144215e+00
392	7.820000000000000284e-01	2.383057147047800139e+00
393	7.840000000000000302e-01	2.388366383920325298e+00
394	7.860000000000000320e-01	2.393682397104878401e+00
395	7.880000000000000338e-01	2.399005177974692149e+00
396	7.900000000000000355e-01	2.404334717935863175e+00
397	7.920000000000000373e-01	2.409671008427143768e+00
398	7.940000000000000391e-01	2.415014040919736260e+00
399	7.960000000000000409e-01	2.420363806917086968e+00
400	7.980000000000000426e-01	2.425720297954686799e+00
401	8.000000000000000444e-01	2.431083505599865635e+00
402	8.020000000000000462e-01	2.436453421451597379e+00
403	8.040000000000000480e-01	2.441830037140300558e+00
404	8.060000000000000497e-01	2.447213344327642481e+00
405	8.080000000000000515e-01	2.452603334706347393e+00
406	8.100000000000000533e-01	2.458000000000000185e+00
407	8.120000000000000551e-01	2.463403331962859877e+00
408	8.140000000000000568e-01	2.468813322379668662e+00
409	8.160000000000000586e-01	2.474229963065464055e+00
410	8.180000000000000604e-01	2.479653245865395483e+00
411	8.200000000000000622e-01	2.485083162654536437e+00
412	8.220000000000000639e-01	2.490519705337705503e+00
413	8.240000000000000657e-01	2.495962865849283396e+00
414	8.260000000000000675e-01	2.501412636153033553e+00
415	8.280000000000000693e-01	2.506869008241924490e+00
416	8.300000000000000711e-01	2.512331974137953949e+00
417	8.320000000000000728e-01	2.517801525891972592e+00
418	8.339999999999999636e-01	2.523277655583511692e+00
419	8.359999999999999654e-01	2.528760355320610387e+00
420	8.379999999999999671e-01	2.534249617239646035e+00
421	8.399999999999999689e-01	2.539745433505162353e+00
422	8.419999999999999707e-01	2.545247796309705102e+00
423	8.439999999999999725e-01	2.550756697873654222e+00
424	8.459999999999999742e-01	2.556272130445058188e+00
425	8.479999999999999760e-01	2.561794086299471029e+00
426	8.499999999999999778e-01	2.567322557739790678e+00
427	8.519999999999999796e-01	2.572857537096096880e+00
428	8.539999999999999813e-01	2.578399016725492210e+00
429	8.559999999999999831e-01	2.583946989011942641e+00
430	8.579999999999999849e-01	2.589501446366123893e+00
431	8.599999999999999867e-01	2.595062381225261117e+00
432	8.619999999999999885e-01	2.600629786052977011e+00
433	8.639999999999999902e-01	2.606203653339139947e+00
434	8.659999999999999920e-01	2.611783975599707652e+00
435	8.679999999999999938e-01	2.617370745376581986e+00
436	8.699999999999999956e-01	2.622963955237453959e+00
437	8.719999999999999973e-01	2.628563597775659400e+00
438	8.739999999999999991e-01	2.634169665610031075e+00
439	8.760000000000000009e-01	2.639782151384750364e+00
440	8.780000000000000027e-01	2.645401047769206038e+00
441	8.800000000000000044e-01	2.651026347457847265e+00
442	8.820000000000000062e-01	2.656658043170044170e+00
443	8.840000000000000080e-01	2.662296127649944388e+00
444	8.860000000000000098e-01	2.667940593666333182e+00
445	8.880000000000000115e-01	2.673591434012495327e+00
446	8.900000000000000133e-01	2.679248641506075224e+00
447	8.920000000000000151e-01	2.684912208988943227e+00
448	8.940000000000000169e-01	2.690582129327055316e+00
449	8.960000000000000187e-01	2.696258395410321640e+00
450	8.980000000000000204e-01	2.701941000152473293e+00
451	9.000000000000000222e-01	2.707629936490924649e+00
452	9.020000000000000240e-01	2.713325197386649457e+00
453	9.040000000000000258e-01	2.719026775824041842e+00
454	9.060000000000000275e-01	2.724734664810793738e+00
455	9.080000000000000293e-01	2.730448857377761662e+00
456	9.100000000000000311e-01	2.736169346578841477e+00
457	9.120000000000000329e-01	2.741896125490840053e+00
458	9.140000000000000346e-01	2.747629187213351809e+00
459	9.160000000000000364e-01	2.753368524868631262e+00
460	9.180000000000000382e-01	2.759114131601471787e+00
461	9.200000000000000400e-01	2.764866000579080829e+00
462	9.220000000000000417e-01	2.770624124990959558e+00
463	9.240000000000000435e-01	2.776388498048779852e+00
464	9.260000000000000453e-01	2.782159112986267502e+00
465	9.280000000000000471e-01	2.787935963059080091e+00
466	9.300000000000000488e-01	2.793719041544689752e+00
467	9.320000000000000506e-01	2.799508341742265927e+00
468	9.340000000000000524e-01	2.805303856972559906e+00
469	9.360000000000000542e-01	2.811105580577786256e+00
470	9.380000000000000560e-01	2.816913505921512240e+00
471	9.400000000000000577e-01	2.822727626388539690e+00
472	9.420000000000000595e-01	2.828547935384796208e+00
473	9.440000000000000613e-01	2.834374426337218811e+00
474	9.460000000000000631e-01	2.840207092693646018e+00
475	9.480000000000000648e-01	2.846045927922705054e+00
476	9.500000000000000666e-01	2.851890925513703046e+00
477	9.520000000000000684e-01	2.857742078976519551e+00
478	9.540000000000000702e-01	2.863599381841494651e+00
479	9.560000000000000719e-01	2.869462827659325477e+00
480	9.580000000000000737e-01	2.875332410000957850e+00
481	9.599999999999999645e-01	2.881208122457480592e+00
482	9.619999999999999662e-01	2.887089958640022047e+00
483	9.639999999999999680e-01	2.892977912179643063e+00
484	9.659999999999999698e-01	2.898871976727235733e+00
485	9.679999999999999716e-01	2.904772145953420814e+00
486	9.699999999999999734e-01	2.910678413548444254e+00
487	9.719999999999999751e-01	2.916590773222077271e+00
488	9.739999999999999769e-01	2.922509218703515099e+00
489	9.759999999999999787e-01	2.928433743741277517e+00
490	9.779999999999999805e-01	2.934364342103110701e+00
491	9.799999999999999822e-01	2.940301007575886416e+00
492	9.819999999999999840e-01	2.946243733965506983e+00
493	9.839999999999999858e-01	2.952192515096808023e+00
494	9.859999999999999876e-01	2.958147344813458979e+00
495	9.879999999999999893e-01	2.964108216977873411e+00
496	9.899999999999999911e-01	2.970075125471107746e+00
497	9.919999999999999929e-01	2.976048064192771569e+00
498	9.939999999999999947e-01	2.982027027060932589e+00
499	9.959999999999999964e-01	2.988012008012024268e+00
500	9.979999999999999982e-01	2.994003001000750785e+00
501	1.000000000000000000e+00	3.000000000000000000e+00
