"T [C]","P [bar]","1e3*dV0/dP H2O [cc/mol/bar]","1e3*dV0/dP NaCl [cc/mol/bar]","1e3*A_k [Cc^3 kg^0.5/mol^3/2/bar]","1e9*B [kg/mol/bar^2]"
290,600,-2.7,47.3,-42.2,26.9
300,600,-3.011,58,-54.3,36.6
0,800,-0.711,4.3,-0.18,-7.02
10,800,-0.68,3.43,-0.234,-4.4
20,800,-0.66,2.9,-0.285,-2.9
25,800,-0.653,2.72,-0.31,-2.41
30,800,-0.648,2.59,-0.337,-2.04
40,800,-0.643,2.42,-0.394,-1.55
50,800,-0.642,2.35,-0.458,-1.29
60,800,-0.647,2.34,-0.532,-1.15
70,800,-0.655,2.47,-0.617,-1.1
80,800,-0.668,2.63,-0.718,-1.1
90,800,-0.683,2.88,-0.836,-1.34
100,800,-0.703,3.21,-0.975,-1.64
110,800,-0.726,3.62,-1.14,-2.04
120,800,-0.752,4.11,-1.34,-2.53
130,800,-0.783,4.7,-1.57,-3.07
140,800,-0.811,5.37,-1.84,-3.66
150,800,-0.855,6.15,-2.17,-4.27
160,800,-0.899,7.04,-2.56,-4.89
170,800,-0.947,8.05,-3.03,-5.48
180,800,-1.001,9.18,-3.6,-6.02
190,800,-1.06,10.5,-4.28,-6.48
200,800,-1.127,11.9,-5.1,-6.81
210,800,-1.201,13.5,-6.1,-6.97
220,800,-1.284,15.3,-7.31,-6.91
230,800,-1.377,17.4,-8.79,-6.54
240,800,-1.48,19.7,-10.6,-5.8
250,800,-1.597,22.4,-12.8,-4.57
260,800,-1.728,25.4,-15.6,-2.72
270,800,-1.876,29,-19.1,-0.07
280,800,-2.043,33.1,-23.4,3.61
290,800,-2.233,37.9,-28.9,8.62
300,800,-2.45,43.7,-35.9,15.4
0,1000,-0.667,3.78,-0.163,-5.85
10,1000,-0.642,3.02,-0.215,-3.43
20,1000,-0.626,2.56,-0.264,-2.08
25,1000,-0.62,2.4,-0.288,-1.65
30,1000,-0.616,2.28,-0.313,-1.33
40,1000,-0.612,2.14,-0.365,-0.92
50,1000,-0.612,2.07,-0.424,-0.72
60,1000,-0.615,2.06,-0.491,-0.64
70,1000,-0.623,2.33,-0.568,-1
80,1000,-0.634,2.54,-0.657,-1.22
90,1000,-0.648,2.84,-0.762,-1.61
100,1000,-0.665,3.23,-0.884,-2.15
110,1000,-0.685,3.71,-1.03,-2.81
120,1000,-0.708,4.28,-1.2,-3.59
130,1000,-0.735,4.95,-1.39,-4.47
140,1000,-0.765,5.71,-1.63,-5.44
150,1000,-0.798,6.59,-1.9,-6.47
160,1000,-0.836,7.57,-2.23,-7.55
170,1000,-0.877,8.67,-2.61,-8.66
180,1000,-0.923,9.9,-3.07,-9.77
190,1000,-0.974,11.3,-3.61,-10.9
200,1000,-1.031,12.8,-4.26,-11.9
210,1000,-1.093,14.5,-5.03,-12.9
220,1000,-1.162,16.3,-5.95,-13.7
230,1000,-1.238,16.4,-7.06,-14.4
240,1000,-1.322,20.6,-8.39,-14.8
250,1000,-1.416,23.1,-10,-15
260,1000,-1.52,25.8,-11.9,-14.6
270,1000,-1.636,28.8,-14.3,-13.8
280,1000,-1.765,32.2,-17.2,-12.2
290,1000,-1.909,35.8,-20.7,-9.7
300,1000,-2.71,39.8,-25.1,-5.9
