"T [C]","P [bar]",0.1,0.25,0.5,0.75,1,2,3,4,5,6
170,200.0,3.54,5.2,6.89,8.12,9.11,12.08,14.24,15.98,17.42,18.63
180,200.0,3.92,5.76,7.63,8.97,10.06,13.29,15.63,17.5,19.05,20.34
190,200.0,4.37,6.41,8.48,9.96,11.16,14.68,17.23,19.25,20.92,22.3
200,200.0,4.89,7.17,9.47,11.12,12.44,16.31,19.08,21.27,23.07,24.56
210,200.0,5.51,8.07,10.66,12.49,13.96,18.22,21.24,23.62,25.56,27.17
220,200.0,6.26,9.17,12.08,14.14,15.78,20.5,23.81,26.39,28.49,30.22
230,200.0,7.18,10.51,13.82,16.15,18.01,23.26,26.9,29.72,31.99,33.85
240,200.0,8.34,12.18,16.0,18.66,20.77,26.67,30.7,33.77,36.23,38.22
250,200.0,9.82,14.33,18.78,21.86,24.26,30.98,35.46,38.84,41.5,43.63
260,200.0,11.76,17.14,22.42,26.03,28.86,36.56,41.61,45.34,48.23,50.51
270,200.0,14.38,20.94,27.31,31.65,35.01,44.02,49.78,53.94,57.1,59.54
280,200.0,18.04,26.23,34.12,39.45,43.55,54.34,60.05,65.78,69.27,71.89
290,200.0,23.34,33.88,43.98,50.73,55.88,69.22,77.27,82.78,86.73,89.57
300,200.0,31.37,45.47,58.9,67.81,74.56,91.74,101.81,108.51,113.14,116.33
0,400.0,1.72,3.16,4.97,6.43,7.68,11.5,14.17,16.04,17.22,17.79
10,400.0,1.4,2.45,3.74,4.78,5.69,8.56,10.7,12.35,13.59,14.46
20,400.0,1.28,2.13,3.17,4.01,4.75,7.11,8.96,10.47,11.69,12.66
25,400.0,1.25,2.05,3.02,3.79,4.47,6.67,8.42,9.87,11.07,12.06
30,400.0,1.24,2.0,2.91,3.64,4.27,6.35,8.01,9.41,10.59,11.58
40,400.0,1.25,1.97,2.8,3.47,4.05,5.94,7.48,8.79,9.93,10.91
50,400.0,1.29,2.0,2.79,3.42,3.97,5.75,7.2,8.45,9.54,10.5
60,400.0,1.36,2.06,2.85,3.46,3.99,5.71,7.1,8.3,9.35,10.28
70,400.0,1.44,2.16,2.96,3.57,4.09,5.78,7.13,8.28,9.27,10.15
80,400.0,1.53,2.29,3.1,3.73,4.26,5.94,7.28,8.4,9.38,10.22
90,400.0,1.64,2.44,3.29,3.93,4.48,6.19,7.53,8.65,9.61,10.43
100,400.0,1.76,2.61,3.51,4.18,4.74,6.5,7.87,9.0,9.96,10.78
110,400.0,1.9,2.81,3.76,4.47,5.06,6.89,8.3,9.45,10.43,11.25
120,400.0,2.05,3.03,4.04,4.8,5.42,7.35,8.82,10.01,11.02,11.86
130,400.0,2.22,3.27,4.37,5.17,5.84,7.89,9.43,10.68,11.72,12.59
140,400.0,2.41,3.55,4.73,5.59,6.31,8.49,10.13,11.46,12.56,13.47
150,400.0,2.62,3.85,5.13,6.07,6.84,9.19,10.94,12.35,13.52,14.48
160,400.0,2.85,4.19,5.58,6.59,7.43,9.97,11.85,13.36,14.62,15.65
170,400.0,3.1,4.57,6.08,7.19,8.1,10.84,12.88,14.51,15.86,16.98
180,400.0,3.39,4.99,6.65,7.85,8.85,11.83,14.04,15.81,17.28,18.49
190,400.0,3.71,5.47,7.29,8.61,9.69,12.95,15.35,17.28,18.87,20.19
200,400.0,4.08,6.02,8.01,9.46,10.65,14.21,16.83,18.94,20.67,22.11
210,400.0,4.5,6.64,8.84,10.44,11.75,15.65,18.52,20.81,22.71,24.29
220,400.0,4.99,7.36,9.8,11.57,13.01,17.31,20.45,22.96,25.04,26.77
230,400.0,5.57,8.21,10.93,12.89,14.49,19.23,22.68,25.44,27.71,29.6
240,400.0,6.25,9.22,12.26,14.45,16.24,21.49,25.29,28.31,30.81,32.87
250,400.0,7.09,10.45,13.88,16.34,18.34,24.18,28.39,31.72,34.44,36.7
260,400.0,8.12,11.96,15.86,18.65,20.91,27.46,32.13,35.8,38.79,41.25
270,400.0,9.42,13.86,18.36,21.56,24.13,31.53,36.74,40.8,44.08,46.71
280,400.0,11.1,16.32,21.57,25.28,28.25,36.69,42.55,47.07,50.68,53.6
290,400.0,13.33,19.58,25.82,30.2,33.67,43.45,50.11,55.16,59.14,62.31
300,400.0,16.4,24.04,31.62,36.89,41.04,52.55,60.23,65.93,70.34,73.77
0,600.0,1.62,2.93,4.53,5.79,6.86,10.01,12.16,13.64,14.58,15.02
10,600.0,1.33,2.29,3.45,4.37,5.16,7.62,9.45,10.87,11.96,12.75
20,600.0,1.21,2.01,2.95,3.71,4.36,6.45,8.08,9.42,10.55,11.47
25,600.0,1.19,1.93,2.81,3.51,4.12,6.09,7.65,8.95,10.07,11.02
30,600.0,1.18,1.89,2.72,3.38,3.95,5.82,7.32,8.6,9.7,10.66
40,600.0,1.19,1.86,2.63,3.24,3.76,5.48,6.89,8.1,9.18,10.13
50,600.0,1.23,1.88,2.62,3.2,3.7,5.33,6.66,7.82,8.86,9.8
60,600.0,1.28,1.94,2.67,3.23,3.72,5.29,6.57,7.7,8.7,9.62
70,600.0,1.36,2.04,2.77,3.34,3.82,5.37,6.61,7.68,8.61,9.44
80,600.0,1.44,2.15,2.91,3.48,3.97,5.53,6.76,7.8,8.7,9.49
90,600.0,1.54,2.28,3.07,3.67,4.17,5.75,6.99,8.02,8.91,9.67
100,600.0,1.65,2.44,3.27,3.89,4.41,6.04,7.3,8.34,9.22,9.97
110,600.0,1.77,2.61,3.49,4.15,4.69,6.39,7.69,8.75,9.64,10.39
120,600.0,1.9,2.8,3.74,4.44,5.02,6.81,8.16,9.25,10.17,10.93
130,600.0,2.05,3.01,4.02,4.76,5.38,7.28,8.71,9.85,10.81,11.6
140,600.0,2.2,3.24,4.32,5.12,5.79,7.82,9.34,10.56,11.57,12.39
150,600.0,2.37,3.5,4.66,5.53,6.24,8.42,10.06,11.37,12.44,13.31
160,600.0,2.56,3.77,5.04,5.97,6.74,9.1,10.86,12.27,13.43,14.37
170,600.0,2.76,4.07,5.44,6.46,7.3,9.85,11.76,13.3,14.55,15.57
180,600.0,2.98,4.41,5.89,6.99,7.91,10.69,12.77,14.45,15.82,16.93
190,600.0,3.22,4.77,6.39,7.59,8.58,11.62,13.9,15.73,17.23,18.46
200,600.0,3.49,5.17,6.94,8.24,9.33,12.65,15.15,17.16,18.82,20.19
210,600.0,3.79,5.62,7.55,8.98,10.17,13.81,16.55,18.77,20.6,22.12
220,600.0,4.12,6.12,8.23,9.79,11.1,15.11,18.12,20.58,22.61,24.29
230,600.0,4.49,6.68,9.0,10.72,12.16,16.57,19.9,22.62,24.87,26.75
240,600.0,4.91,7.32,9.87,11.77,13.36,18.24,21.93,24.94,27.45,29.55
250,600.0,5.4,8.06,10.88,12.99,14.75,20.16,24.26,27.61,30.42,32.76
260,600.0,5.97,8.92,12.06,14.41,16.37,22.4,26.98,30.73,33.86,36.49
270,600.0,6.65,9.95,13.47,16.1,18.3,25.07,30.21,34.42,37.94,40.9
280,600.0,7.47,11.2,15.18,18.16,20.64,28.3,34.11,38.87,42.85,46.19
290,600.0,8.5,12.75,17.3,20.7,23.54,32.29,38.93,44.35,48.89,52.69
300,600.0,9.79,14.72,19.99,23.93,27.23,37.37,45.05,51.31,56.53,60.89
0,800.0,1.52,2.72,4.14,5.24,6.14,8.74,10.48,11.68,12.47,12.91
10,800.0,1.26,2.14,3.19,4.0,4.7,6.82,8.39,9.64,10.64,11.42
20,800.0,1.15,1.89,2.75,3.43,4.01,5.86,7.32,8.54,9.6,10.51
25,800.0,1.13,1.82,2.63,3.26,3.81,5.57,6.97,8.18,9.24,10.18
30,800.0,1.12,1.78,2.55,3.15,3.67,5.35,6.71,7.89,8.95,9.9
40,800.0,1.13,1.76,2.47,3.02,3.5,5.07,6.36,7.49,8.52,9.47
50,800.0,1.17,1.78,2.45,2.99,3.45,4.94,6.17,7.26,8.26,9.18
60,800.0,1.22,1.83,2.5,3.02,3.46,4.9,6.09,7.14,8.11,9.01
70,800.0,1.29,1.92,2.61,3.13,3.58,5.01,6.16,7.15,8.04,8.83
80,800.0,1.37,2.03,2.73,3.27,3.72,5.16,6.3,7.27,8.12,8.86
90,800.0,1.45,2.15,2.89,3.44,3.91,5.37,6.52,7.48,8.3,9.01
100,800.0,1.55,2.29,3.06,3.64,4.13,5.64,6.81,7.77,8.59,9.27
110,800.0,1.66,2.44,3.26,3.87,4.38,5.96,7.17,8.15,8.97,9.64
120,800.0,1.77,2.61,3.43,4.13,4.67,6.34,7.6,8.62,9.45,10.13
130,800.0,1.9,2.79,3.72,4.42,4.99,6.77,8.1,9.17,10.03,10.73
140,800.0,2.03,2.99,3.99,4.73,5.35,7.25,8.67,9.8,10.72,11.45
150,800.0,2.17,3.2,4.23,5.08,5.75,7.79,9.32,10.53,11.51,12.29
160,800.0,2.33,3.43,4.6,5.46,6.18,8.39,10.04,11.36,12.42,13.26
170,800.0,2.49,3.68,4.94,5.87,6.65,9.05,10.85,12.29,13.45,14.37
180,800.0,2.66,3.95,5.3,6.32,7.17,9.78,11.75,13.33,14.6,15.62
190,800.0,2.85,4.23,5.7,6.8,7.73,10.59,12.75,14.48,15.89,17.02
200,800.0,3.05,4.54,6.13,7.33,8.34,11.47,13.85,15.77,17.34,18.61
210,800.0,3.26,4.87,6.59,7.9,9.0,12.44,15.07,17.21,18.96,20.38
220,800.0,3.49,5.23,7.1,8.53,9.73,13.52,16.43,18.81,20.78,22.38
230,800.0,3.74,5.61,7.66,9.22,10.54,14.72,17.96,20.62,22.83,24.65
240,800.0,4.0,6.04,8.27,9.98,11.44,16.07,19.69,22.67,25.16,27.22
250,800.0,4.3,6.51,8.95,10.84,12.45,17.61,21.65,25.02,27.84,30.2
260,800.0,4.63,7.04,9.72,11.81,13.6,19.37,23.94,27.75,30.97,33.67
270,800.0,5.0,7.64,10.6,12.93,14.94,21.45,26.63,30.98,34.68,37.79
280,800.0,5.42,8.33,11.64,14.25,16.52,23.93,29.88,34.91,39.19,42.81
290,800.0,5.91,9.15,12.88,15.85,18.45,27.0,33.92,39.79,44.82,49.09
300,800.0,6.5,10.15,14.41,17.85,20.87,30.91,39.1,46.09,52.09,57.21
0,1000.0,1.44,2.53,3.8,4.75,5.51,7.67,9.1,10.13,10.89,11.42
10,1000.0,1.19,2.01,2.95,3.68,4.29,6.13,7.51,8.65,9.62,10.45
20,1000.0,1.1,1.78,2.57,3.18,3.7,5.35,6.67,7.81,8.84,9.79
25,1000.0,1.08,1.72,2.46,3.04,3.53,5.11,6.39,7.53,8.56,9.52
30,1000.0,1.07,1.69,2.39,2.94,3.41,4.93,6.18,7.29,8.32,9.29
40,1000.0,1.08,1.67,2.32,2.83,3.27,4.69,5.88,6.96,7.96,8.91
50,1000.0,1.11,1.63,2.31,2.8,3.22,4.58,5.71,6.75,7.71,8.64
60,1000.0,1.16,1.73,2.35,2.82,3.23,4.54,5.64,6.63,7.56,8.45
70,1000.0,1.23,1.82,2.46,2.95,3.37,4.1,5.77,6.72,7.56,8.34
80,1000.0,1.3,1.92,2.58,3.08,3.51,4.85,5.92,6.83,7.64,8.35
90,1000.0,1.38,2.03,2.72,3.24,3.68,5.05,6.13,7.03,7.81,8.48
100,1000.0,1.47,2.16,2.88,3.43,3.88,5.3,6.4,7.3,8.06,8.7
110,1000.0,1.56,2.3,3.06,3.64,4.12,5.6,6.73,7.65,8.41,9.04
120,1000.0,1.66,2.45,3.26,3.87,4.38,5.95,7.13,8.08,8.85,9.47
130,1000.0,1.77,2.61,3.48,4.13,4.67,6.34,7.59,8.59,9.39,10.02
140,1000.0,1.89,2.78,3.72,4.41,5.0,6.78,8.12,9.18,10.02,10.68
150,1000.0,2.01,2.96,3.97,4.72,5.35,7.28,8.72,9.85,10.76,11.45
160,1000.0,2.14,3.16,4.24,5.05,5.73,7.82,9.38,10.62,11.59,12.35
170,1000.0,2.27,3.37,4.53,5.4,6.14,8.41,10.12,11.47,12.54,13.37
180,1000.0,2.41,3.58,4.84,5.78,6.58,9.06,10.94,12.43,13.61,14.3
190,1000.0,2.56,3.81,5.16,6.19,7.06,9.78,11.84,13.19,14.81,15.84
200,1000.0,2.71,4.05,5.51,6.63,7.57,10.56,12.84,14.67,16.15,17.31
210,1000.0,2.87,4.31,5.88,7.09,8.13,11.41,13.94,15.99,17.65,18.97
220,1000.0,3.03,4.57,6.28,7.6,8.73,12.35,15.17,17.47,19.35,20.85
230,1000.0,3.2,4.85,6.7,8.14,9.39,13.4,16.55,19.13,21.27,22.99
240,1000.0,3.37,5.15,7.15,8.73,10.11,14.56,18.1,21.03,23.46,25.45
250,1000.0,3.55,5.46,7.65,9.39,10.91,15.89,19.89,23.22,26.01,28.31
260,1000.0,3.74,5.8,8.19,10.12,11.81,17.42,21.97,25.19,29.01,31.69
270,1000.0,3.95,6.18,8.81,10.96,12.86,19.24,24.46,28.89,32.64,35.78
280,1000.0,4.17,6.6,9.52,11.94,14.11,21.44,27.52,32.7,37.13,40.86
290,1000.0,4.41,7.08,10.38,13.15,15.65,24.22,31.4,37.58,42.88,47.37
300,1000.0,4.69,7.68,11.46,14.69,17.63,27.86,36.53,44.04,50.52,56.04
