"T [C]","P [bar]","Cp0/R H2O","Cp0/R NaCl","A_J/R [(kg/mol)^0.5]","B0 [kg/mol/K^2]","B1 [kg/mol/K^2]","10^3xC [(kg/mol/K)^2]"
0,1000,8.472,-3.59,2.69,-7.38,-61.31,0.491
10,1000,8.526,-2.12,2.92,-6.55,-28.42,0.237
20,1000,8.599,-1.8,3.17,-5.66,-13.06,0.121
25,1000,8.626,-1.75,3.3,-5.24,-8.47,0.086
30,1000,8.646,-1.71,3.43,-4.83,-5.08,0.062
40,1000,8.672,-1.64,3.7,-4.11,-0.62,0.03
50,1000,8.685,-1.61,3.98,-3.49,2.01,0.011
60,1000,8.694,-1.66,4.27,-2.97,3.62,0
70,1000,8.704,-1.83,4.58,-2.96,4.62,0.066
80,1000,8.718,-2.2,4.91,-2.78,5.26,0.088
90,1000,8.734,-2.69,5.25,-2.66,5.65,0.107
100,1000,8.752,-3.3,5.61,-2.58,5.89,0.123
110,1000,8.771,-4,5.99,-2.55,6.03,0.138
120,1000,8.791,-4.8,6.38,-2.57,6.09,0.151
130,1000,8.81,-5.68,6.79,-2.63,6.11,0.164
140,1000,8.83,-6.66,7.22,-2.73,6.09,0.176
150,1000,8.85,-7.74,7.66,-2.86,6.05,0.187
160,1000,8.871,-8.92,8.11,-3.03,5.99,0.198
170,1000,8.892,-10.21,8.58,-3.24,5.92,0.209
180,1000,8.916,-11.64,9.06,-3.48,5.84,0.221
190,1000,8.942,-13.22,9.55,-3.77,5.76,0.233
200,1000,8.972,-14.96,10.05,-4.09,5.67,0.245
210,1000,9.004,-16.89,10.56,-4.47,5.59,0.259
220,1000,9.041,-19.04,11.07,-4.9,5.5,0.275
230,1000,9.082,-21.45,11.59,-5.4,5.41,0.293
240,1000,9.128,-24.17,12.1,-5.99,5.32,0.314
250,1000,9.179,-27.27,12.61,-6.69,5.24,0.339
260,1000,9.235,-30.85,13.1,-7.53,5.15,0.37
270,1000,9.296,-35.05,13.58,-8.59,5.07,0.41
280,1000,9.363,-40.08,14.04,-9.92,4.99,0.461
290,1000,9.436,-46.27,14.47,-11.67,4.91,0.529
300,1000,9.515,-54.08,14.86,-14.04,4.83,0.624
