H2OSND.txt	
Density mol/dm3  T / K   SND
55.573455   275.636000    1414.553000
55.573455   275.636000    1414.556000
55.573462   275.639000    1414.573000
55.573467   275.641000    1414.582000
55.573469   275.642000    1414.585000
55.574479   276.123000    1416.861000
55.574480   276.124000    1416.864000
55.574484   276.126000    1416.875000
55.574484   276.126000    1416.876000
55.575292   276.641000    1419.279000
55.575292   276.641000    1419.277000
55.575293   276.642000    1419.277000
55.575293   276.642000    1419.280000
55.575295   276.643000    1419.287000
55.575640   276.946000    1420.702000
55.575641   276.947000    1420.694000
55.575642   276.948000    1420.700000
55.575643   276.949000    1420.707000
55.575643   276.949000    1420.707000
55.575811   277.140000    1421.584000
55.575811   277.140000    1421.587000
55.575812   277.141000    1421.590000
55.575812   277.141000    1421.589000
55.575813   277.142000    1421.595000
55.575961   277.365000    1422.620000
55.575962   277.366000    1422.624000
55.575962   277.366000    1422.622000
55.575962   277.366000    1422.622000
55.576083   277.676000    1424.032000
55.576083   277.677000    1424.039000
55.576083   277.677000    1424.040000
55.576083   277.677000    1424.039000
55.575840   278.642000    1428.364000
55.575840   278.642000    1428.365000
55.575839   278.643000    1428.367000
55.575838   278.645000    1428.378000
55.575355   279.138000    1430.543000
55.575354   279.139000    1430.548000
55.575354   279.139000    1430.551000
55.575352   279.141000    1430.559000
55.575348   279.144000    1430.572000
55.570998   281.138000    1439.089000
55.570995   281.139000    1439.094000
55.570995   281.139000    1439.096000
55.570995   281.139000    1439.094000
55.570992   281.140000    1439.102000
55.563117   283.102000    1447.087000
55.563117   283.102000    1447.087000
55.563112   283.103000    1447.094000
55.563112   283.103000    1447.091000
55.563112   283.103000    1447.089000
55.102826   313.106000    1528.809000
55.102542   313.118000    1528.831000
55.102282   313.129000    1528.847000
54.551722   333.126000    1550.980000
54.551382   333.137000    1550.986000
54.551103   333.146000    1550.994000
54.550855   333.154000    1550.998000
54.550576   333.163000    1551.004000
54.223005   343.251000    1554.819000
54.222937   343.253000    1554.819000
54.222836   343.256000    1554.819000
54.222497   343.266000    1554.824000
54.221955   343.282000    1554.824000
53.497814   363.212000    1550.430000
53.497776   363.213000    1550.430000
53.300765   368.246000    1547.096000
53.300725   368.247000    1547.100000
53.300566   368.251000    1547.095000
55.564476   273.206000    1402.673000
55.564501   273.211000    1402.695000
55.564516   273.214000    1402.705000
55.564536   273.218000    1402.726000
55.564556   273.222000    1402.747000
55.576083   278.138000    1426.115000
55.576083   278.141000    1426.126000
55.576083   278.142000    1426.129000
55.576082   278.143000    1426.131000
55.562930   283.140000    1447.234000
55.562911   283.144000    1447.249000
55.562876   283.151000    1447.276000
55.562832   283.160000    1447.307000
55.474268   293.065000    1482.091000
55.474255   293.066000    1482.096000
55.474243   293.067000    1482.102000
55.401957   298.126000    1496.636000
55.401894   298.130000    1496.646000
55.315229   303.125000    1509.081000
55.315191   303.127000    1509.089000
55.215156   308.113000    1519.752000
55.214943   308.123000    1519.768000
55.214815   308.129000    1519.781000
55.102661   313.113000    1528.820000
55.102613   313.115000    1528.823000
55.102542   313.118000    1528.827000
55.102377   313.125000    1528.837000
54.845116   323.133000    1542.545000
54.844647   323.150000    1542.563000
54.843983   323.174000    1542.591000
54.843706   323.184000    1542.602000
54.550886   333.153000    1550.999000
54.551103   333.146000    1550.999000
54.089732   347.127000    1555.144000
54.089209   347.142000    1555.144000
54.088825   347.153000    1555.145000
55.314740   303.152000    1509.165000
55.570788   303.152000    1525.981000
55.820221   303.152000    1542.769600
56.063443   303.152000    1559.625500
56.300814   303.152000    1576.351900
56.532642   303.152000    1593.158600
56.759252   303.152000    1609.871300
56.980923   303.152000    1626.480600
57.197914   303.152000    1643.080900
57.410403   303.152000    1659.501700
57.618632   303.152000    1675.953200
58.121765   303.152000    1716.689500
58.602226   303.152000    1756.531700
59.062153   303.152000    1795.666400
59.503523   303.152000    1834.098900
55.093996   313.478000    1529.429100
55.347726   313.478000    1546.704000
55.594859   313.478000    1563.764800
55.835803   313.478000    1580.840900
56.070922   313.478000    1597.761000
56.300541   313.478000    1614.590800
56.525001   313.478000    1631.238900
56.744519   313.478000    1647.925100
56.852454   313.478000    1656.146900
56.959344   313.478000    1664.350200
57.169690   313.478000    1680.749100
57.375853   313.478000    1696.982600
57.375853   313.478000    1696.977600
57.874015   313.478000    1736.997100
58.349639   313.478000    1776.112000
58.804989   313.478000    1814.641200
59.241976   313.478000    1852.140900
54.844591   323.152000    1542.568600
55.097632   323.152000    1560.297100
55.344017   323.152000    1577.898500
55.584170   323.152000    1595.222000
55.818454   323.152000    1612.470600
56.047224   323.152000    1629.485500
56.270764   323.152000    1646.296600
56.489365   323.152000    1662.965600
56.703281   323.152000    1679.383000
56.912743   323.152000    1695.722400
57.117969   323.152000    1711.864000
57.613799   323.152000    1751.782700
58.087094   323.152000    1790.646900
58.540130   323.152000    1828.464400
58.974859   323.152000    1865.518600
55.475251   292.987000    1481.897000
55.475251   292.987000    1481.903000
55.475251   292.987000    1481.903000
55.475251   292.987000    1481.902000
55.475251   292.987000    1481.900000
55.404255   297.981000    1496.274000
55.404255   297.981000    1496.276000
55.404255   297.981000    1496.279000
55.404255   297.981000    1496.277000
55.318727   302.938000    1508.674000
55.318727   302.938000    1508.677000
55.318727   302.938000    1508.673000
55.218816   307.941000    1519.426000
55.218795   307.942000    1519.427000
55.218795   307.942000    1519.428000
55.107403   312.912000    1528.490000
55.107379   312.913000    1528.496000
55.107379   312.913000    1528.497000
55.107379   312.913000    1528.494000
54.984757   317.895000    1536.079000
54.984706   317.897000    1536.081000
54.984732   317.896000    1536.084000
54.851823   322.890000    1542.281000
54.851823   322.890000    1542.286000
54.851823   322.890000    1542.285000
54.710495   327.860000    1547.149000
54.710554   327.858000    1547.145000
54.710525   327.859000    1547.149000
54.560046   332.857000    1550.809000
54.559984   332.859000    1550.808000
54.560015   332.858000    1550.810000
54.402066   337.848000    1553.317000
54.402163   337.845000    1553.316000
54.402099   337.847000    1553.317000
54.237480   342.823000    1554.731000
54.237413   342.825000    1554.733000
54.065252   347.827000    1555.119000
54.065323   347.825000    1555.117000
54.065252   347.827000    1555.121000
54.065112   347.831000    1555.118000
54.065252   347.827000    1555.119000
67.089935   323.126690    2628.000000
67.935143   323.126690    2712.900000
57.194509   323.126690    1715.500000
57.562066   323.126690    1746.500000
58.038290   323.126690    1784.000000
58.902589   323.126690    1857.200000
59.043202   323.126690    1869.200000
60.387180   323.126690    1988.400000
59.818655   323.126690    1936.600000
62.035295   323.126690    2138.600000
63.030194   323.126690    2232.400000
64.306530   323.126690    2354.800000
65.243115   323.126690    2447.300000
66.247304   323.126690    2544.300000
57.170724   323.126690    1715.400000
58.054710   323.126690    1787.200000
59.135950   323.126690    1879.600000
59.183674   323.126690    1882.500000
59.942039   323.126690    1948.200000
60.492870   323.126690    1997.400000
61.902674   323.126690    2125.600000
61.922080   323.126690    2130.900000
63.064346   323.126690    2235.700000
64.207149   323.126690    2344.900000
65.245094   323.126690    2445.500000
66.225290   323.126690    2545.100000
55.702638   273.150000    1410.000000
55.860491   273.150000    1419.000000
55.992487   273.150000    1427.000000
56.251478   273.150000    1443.000000
56.378597   273.150000    1451.000000
56.504183   273.150000    1459.000000
56.628280   273.150000    1468.000000
56.872364   273.150000    1485.000000
57.110924   273.150000    1503.000000
57.367199   273.150000    1523.000000
55.696824   283.148000    1455.000000
55.849571   283.148000    1464.000000
55.977299   283.148000    1472.000000
56.228050   283.148000    1489.000000
56.351138   283.148000    1497.000000
56.472760   283.148000    1505.000000
56.592956   283.148000    1513.000000
56.828940   283.148000    1530.000000
57.060611   283.148000    1547.000000
57.286807   283.148000    1564.000000
55.604143   293.145000    1490.000000
55.753310   293.145000    1500.000000
55.878091   293.145000    1508.000000
56.123055   293.145000    1522.000000
56.243255   293.145000    1533.000000
56.362104   293.145000    1541.000000
56.479544   293.145000    1549.000000
56.710606   293.145000    1565.000000
56.936532   293.145000    1582.000000
57.157629   293.145000    1599.000000
55.443665   303.143000    1518.000000
55.565756   303.143000    1526.000000
55.688925   303.143000    1534.000000
55.930609   303.143000    1550.000000
56.072811   303.143000    1560.000000
56.189779   303.143000    1567.000000
56.305362   303.143000    1577.000000
56.553170   303.143000    1593.000000
56.644329   303.143000    1601.000000
56.752647   303.143000    1609.000000
53.239454   373.124000    1554.000000
53.392522   373.124000    1566.000000
53.520249   373.124000    1576.000000
53.646204   373.124000    1586.000000
53.770375   373.124000    1596.000000
53.892871   373.124000    1606.000000
54.013675   373.124000    1615.000000
54.132916   373.124000    1625.000000
54.367046   373.124000    1644.000000
51.945100   403.118000    1516.000000
52.110167   403.118000    1529.000000
52.247664   403.118000    1541.000000
52.382957   403.118000    1552.000000
52.516135   403.118000    1564.000000
52.647250   403.118000    1574.000000
52.802602   403.118000    1585.000000
52.903734   403.118000    1596.000000
53.153140   403.118000    1617.000000
48.270233   473.110000    1343.000000
48.491283   473.110000    1364.000000
48.674027   473.110000    1381.000000
48.851730   473.110000    1397.000000
49.025613   473.110000    1413.000000
49.195615   473.110000    1428.000000
49.362020   473.110000    1443.000000
49.524854   473.110000    1458.000000
49.841200   473.110000    1486.000000
40.551344   573.111000    910.000000
40.746570   573.111000    930.000000
41.184167   573.111000    972.000000
41.587037   573.111000    1009.000000
41.961849   573.111000    1043.000000
42.312864   573.111000    1074.000000
42.643829   573.111000    1103.000000
42.957347   573.111000    1131.000000
43.541072   573.111000    1180.000000
34.771136   623.109000    676.000000
35.890677   623.109000    754.000000
36.742891   623.109000    814.000000
37.447800   623.109000    864.000000
38.056627   623.109000    908.000000
38.597594   623.109000    947.000000
39.086866   623.109000    982.000000
0.043633   583.184480    590.000000
0.228112   583.184480    583.000000
0.474787   583.184480    574.000000
0.729247   583.184480    564.000000
0.938077   583.184480    555.000000
1.165812   583.184480    546.000000
1.365718   583.184480    537.000000
1.589109   583.184480    527.000000
1.933296   583.184480    509.000000
2.085153   583.184480    501.000000
2.224342   583.184480    494.000000
2.356076   583.184480    487.000000
39.436150   583.184480    479.000000
0.046276   563.181277    579.000000
0.247812   563.181277    572.000000
0.393482   563.181277    566.000000
0.535879   563.181277    560.000000
0.679694   563.181277    553.000000
0.862287   563.181277    545.000000
1.011052   563.181277    538.000000
1.127971   563.181277    532.000000
1.272729   563.181277    524.000000
1.405997   563.181277    517.000000
1.552995   563.181277    509.000000
1.654482   563.181277    503.000000
1.768489   563.181277    496.000000
41.482814   563.181277    491.000000
0.048943   523.170667    559.000000
0.146239   523.170667    554.000000
0.233328   523.170667    550.000000
0.383409   523.170667    543.000000
0.468337   523.170667    538.000000
0.591084   523.170667    531.000000
0.682906   523.170667    525.000000
0.785063   523.170667    519.000000
0.864919   523.170667    514.000000
0.935196   523.170667    509.000000
44.809862   523.170667    505.000000
44.815882   523.170667    502.000000
0.053583   503.163943    548.000000
0.151663   503.163943    543.000000
0.229965   503.163943    539.000000
0.349420   503.163943    532.000000
0.430105   503.163943    527.000000
0.520519   503.163943    521.000000
0.577452   503.163943    517.000000
0.638058   503.163943    512.000000
46.222789   503.163943    508.000000
46.228436   503.163943    505.000000
0.057022   463.149091    526.000000
0.130994   463.149091    521.000000
0.205675   463.149091    516.000000
0.252932   463.149091    512.000000
0.305667   463.149091    507.000000
48.713213   463.149091    503.000000
0.059726   423.135301    502.000000
0.100052   423.135301    498.000000
0.125185   423.135301    495.000000
50.847522   423.135301    493.000000
55.440871   295.544423    1488.700000
55.566091   282.447749    1443.500000
55.564154   273.150000    1402.000000
55.449696   263.152290    1346.000000
56.112646   272.980040    1433.400000
56.595436   272.420172    1462.100000
57.484117   272.550141    1530.100000
58.396534   272.740097    1608.700000
59.480522   273.030028    1705.900000
60.534808   273.010033    1805.500000
61.579347   272.840073    1904.700000
62.211928   272.710104    1965.000000
62.924951   272.660116    2035.000000
58.351903   264.452000    1563.600000
58.346708   263.152290    1555.000000
59.106913   263.052312    1625.100000
60.065219   262.952334    1718.200000
60.932567   262.952334    1802.600000
61.760148   262.952334    1884.400000
61.591593   263.052312    1869.400000
62.519627   262.952334    1959.500000
62.414499   262.952334    1949.400000
62.308437   262.952334    1938.000000
62.213156   263.052312    1928.500000
62.834149   262.952334    1989.300000
62.716400   262.952334    1978.400000
62.566402   262.952334    1964.200000
62.036777   263.252267    1913.800000
59.606118   262.152510    1667.300000
60.030746   261.752598    1708.800000
59.881504   257.453525    1677.300000
59.749200   256.753673    1660.700000
61.026468   256.753673    1789.700000
60.971698   256.653694    1783.800000
61.943437   256.453736    1879.200000
61.725803   256.253778    1858.000000
61.536482   256.253778    1838.600000
59.810687   255.453945    1662.000000
60.989810   255.253987    1781.200000
60.681716   255.154008    1749.600000
61.746459   255.154008    1856.500000
61.626927   254.954049    1843.700000
61.365246   255.054028    1817.200000
60.908072   254.954049    1772.100000
60.494223   254.954049    1729.800000
60.260538   253.754297    1704.800000
61.049577   253.454358    1784.400000
61.019966   253.454358    1780.600000
60.858462   253.154420    1765.200000
60.811345   253.154420    1760.100000
61.132330   252.654522    1790.500000
60.765937   253.154420    1754.800000
60.946622   252.654522    1772.300000
60.408105   252.854481    1717.700000
60.389172   252.954461    1714.900000
60.037358   252.954461    1679.900000
56.462929   292.545198    1544.400000
57.190089   292.545198    1599.200000
58.196775   292.545198    1680.200000
58.664564   292.445224    1717.400000
59.707830   292.545198    1809.400000
60.682877   292.545198    1897.400000
61.736038   292.545198    1995.600000
62.673565   292.545198    2084.800000
63.397086   292.545198    2155.200000
63.547917   292.545198    2169.800000
63.612396   292.645172    2175.800000
47.298884   518.109604    1356.100000
48.708275   524.609687    1504.000000
44.755892   591.610388    1325.000000
34.204755   723.088592    961.000000
26.493119   810.056536    807.000000
24.630242   836.047388    782.000000
22.872711   864.038271    766.000000
24.103549   844.044723    775.000000
20.625587   906.036530    769.000000
18.772370   947.233442    777.000000
17.971074   967.325361    781.000000
49.952581   529.609767    1617.000000
47.693513   574.110480    1521.000000
34.752912   775.069743    1088.600000
29.901587   851.042440    988.000000
37.898720   730.086260    1163.000000
31.395904   826.050817    1005.000000
27.902204   888.030332    947.000000
24.392188   967.325361    915.600000
29.477570   942.209631    1075.000000
31.135259   904.026765    1108.000000
32.669385   872.035702    1144.000000
35.210970   824.051516    1190.000000
38.154110   773.070508    1252.000000
48.915402   580.110490    1621.000000
51.402878   526.109710    1720.000000
48.438641   619.109273    1656.000000
53.200064   509.109542    1837.000000
49.726179   591.110396    1703.000000
44.051119   707.093551    1494.000000
39.588022   791.063635    1369.000000
37.310264   835.047726    1313.000000
36.123092   859.039869    1285.000000
34.940547   884.031723    1252.000000
33.046825   927.137656    1226.000000
32.921569   930.152069    1226.000000
54.123023   511.109550    1922.000000
50.792589   595.110320    1799.000000
47.728982   665.103600    1674.000000
45.479935   713.091756    1601.000000
40.860866   808.057270    1474.000000
38.821346   851.042440    1424.000000
37.952149   870.036347    1406.000000
35.870334   918.094438    1364.000000
55.561912   283.343127    1448.044960
55.924815   283.343127    1470.454960
56.277597   283.343127    1493.164960
56.618556   283.343127    1516.274960
56.948591   283.343127    1539.984960
57.268494   283.343127    1563.774960
57.578964   283.343127    1587.744960
57.880624   283.343127    1611.654960
55.477616   292.797833    1481.272116
55.832476   292.797833    1503.982116
56.177507   292.797833    1527.022116
56.511036   292.797833    1550.132116
56.833942   292.797833    1573.432116
57.146994   292.797833    1596.542116
57.450874   292.797833    1619.892116
57.746190   292.797833    1643.052116
54.857139   322.696805    1542.064180
55.202079   322.696805    1566.574180
55.537266   322.696805    1590.684180
55.861123   322.696805    1614.384180
56.174541   322.696805    1637.684180
56.478301   322.696805    1660.744180
56.773091   322.696805    1683.464180
57.059524   322.696805    1705.974180
53.452041   364.393613    1549.721970
53.810099   364.393613    1577.951970
54.156813   364.393613    1605.231970
54.490770   364.393613    1631.671970
54.813076   364.393613    1657.281970
55.124689   364.393613    1682.101970
55.426443   364.393613    1706.311970
55.719070   364.393613    1729.941970
54.891208   273.156000    1402.500000
54.891394   273.160000    1402.500000
54.893019   273.195000    1402.700000
54.893297   273.201000    1402.700000
54.922300   273.835000    1405.300000
54.922525   273.840000    1405.200000
55.006231   275.779000    1414.600000
55.006272   275.780000    1414.600000
55.060003   277.125000    1421.400000
55.060042   277.126000    1421.300000
55.066201   277.286000    1422.100000
55.066240   277.287000    1422.100000
55.125854   278.907000    1428.900000
55.125854   278.907000    1428.900000
55.158587   279.859000    1432.900000
55.158687   279.862000    1433.100000
55.223888   281.925000    1442.100000
55.223918   281.926000    1442.200000
55.255653   283.030000    1446.700000
55.255681   283.031000    1446.700000
55.255931   283.040000    1446.700000
55.273248   283.677000    1449.300000
55.273328   283.680000    1449.200000
55.374427   288.110000    1465.300000
55.374847   288.132000    1465.600000
55.374847   288.132000    1465.500000
55.453954   293.481000    1482.900000
55.453965   293.482000    1483.000000
55.488518   303.407000    1509.400000
55.488508   303.410000    1509.300000
55.400041   313.039000    1527.900000
55.399863   313.051000    1528.000000
55.395141   313.367000    1528.200000
55.395005   313.376000    1528.200000
55.210496   322.657000    1541.800000
55.210472   322.658000    1541.600000
55.203073   322.960000    1542.200000
55.203024   322.962000    1542.100000
54.909685   333.109000    1550.200000
54.909653   333.110000    1550.100000
54.734395   338.168000    1552.500000
54.734286   338.171000    1552.500000
54.698134   339.157000    1552.700000
54.698060   339.159000    1552.800000
54.558510   342.822000    1553.800000
54.558236   342.829000    1553.800000
54.518925   343.825000    1554.000000
54.518845   343.827000    1554.000000
54.393666   346.911000    1554.800000
54.392921   346.929000    1554.800000
54.388901   347.026000    1554.700000
54.388528   347.035000    1554.800000
54.385499   347.108000    1554.800000
54.385125   347.117000    1554.800000
54.383298   347.161000    1554.800000
54.380722   347.223000    1554.800000
54.378352   347.280000    1554.700000
54.376147   347.333000    1554.800000
54.374190   347.380000    1554.900000
54.350789   347.940000    1554.200000
54.350663   347.943000    1554.200000
54.136331   352.914000    1553.900000
54.136331   352.914000    1553.800000
54.108814   353.534000    1553.500000
54.108503   353.541000    1553.400000
53.901198   358.103000    1552.100000
53.901013   358.107000    1552.100000
53.682696   362.739000    1550.100000
53.682552   362.742000    1550.100000
53.184290   372.850000    1542.800000
53.184239   372.851000    1542.700000
52.730576   381.694000    1533.700000
52.730524   381.695000    1533.800000
52.208737   391.636000    1521.100000
52.208579   391.639000    1521.100000
51.683104   401.543000    1505.900000
51.682945   401.546000    1505.900000
51.206936   410.512000    1489.900000
51.206618   410.518000    1489.900000
50.573633   422.526000    1465.700000
50.573476   422.529000    1465.800000
50.055545   432.473000    1443.000000
50.055027   432.483000    1442.900000
49.556511   442.165000    1418.800000
49.556408   442.167000    1418.900000
48.850493   456.011000    1381.900000
48.849374   456.033000    1381.800000
48.488065   463.130000    1360.800000
48.486382   463.163000    1360.900000
48.481588   463.257000    1360.900000
48.003921   472.572000    1331.700000
48.003560   472.579000    1331.600000
47.672701   478.938000    1311.300000
47.672544   478.941000    1311.400000
47.403056   484.036000    1294.000000
47.402843   484.040000    1293.900000
47.348521   485.056000    1290.800000
47.348414   485.058000    1290.800000
46.718773   496.507000    1250.400000
46.718263   496.516000    1250.300000
46.276310   504.131000    1222.000000
46.276250   504.132000    1222.000000
45.703853   513.408000    1186.000000
45.702379   513.431000    1186.100000
44.936596   524.767000    1139.600000
44.935454   524.783000    1139.500000
44.193300   534.646000    1096.900000
44.192744   534.653000    1096.900000
2.599464   583.224600    472.000000
2.479087   580.004100    474.000000
2.262113   573.393200    479.000000
2.083614   567.072000    483.000000
1.985062   563.211300    487.000000
1.886507   559.080400    489.000000
1.786362   554.609400    490.000000
1.687763   549.948400    493.000000
1.552917   543.186600    496.000000
1.506382   540.756600    496.000000
1.371839   533.473900    498.000000
1.308752   529.932900    500.000000
1.191861   523.160700    502.000000
1.130968   519.519500    502.000000
1.030078   513.297500    503.000000
0.948754   508.085600    504.000000
0.874495   503.143900    505.000000
0.825234   499.752700    505.000000
0.736777   493.390400    505.000000
0.670305   488.328500    506.000000
0.606391   483.176700    506.000000
0.540096   477.464500    505.000000
0.495841   473.392900    505.000000
0.440141   467.900900    504.000000
0.395370   463.119100    503.000000
0.359109   458.947600    502.000000
0.309972   452.755400    500.000000
0.271377   447.333300    499.000000
0.244370   443.161900    499.000000
0.221295   439.290600    497.000000
0.176834   430.777800    495.000000
0.143708   423.165300    493.000000
0.112999   414.612800    489.000000
0.085473   405.000200    486.000000
0.057784   392.037400    480.000000
0.050737   387.856500    478.000000
0.033060   374.524500    471.000000
0.024957   366.143800    467.000000
0.012874   347.643500    457.000000
0.006152   329.175500    446.000000
0.004453   321.827000    441.000000
0.003452   316.348500    438.000000
0.002315   308.271100    433.000000
0.001784   303.333000    430.000000
0.001416   299.144800    427.000000
0.000986   292.967700    423.000000
0.000697   287.420700    419.000000
0.000531   283.293100    416.000000
0.000387   278.766100    413.000000
0.000256   273.180000    409.000000
