"T [°c]","P [bar]","m=0.1 [mol/kg]","m=0.25 [mol/kg]","m=0.5 [mol/kg]","m=0.75 [mol/kg]","m=1.0 [mol/kg]","m=2.0 [mol/kg]","m=3.0 [mol/kg]","m=4.0 [mol/kg]","m=5.0 [mol/kg]","m=6.0 [mol/kg]"
130,200,5.118,5.094,5.053,5.012,4.972,4.814,4.667,4.532,4.407,4.292
140,200,5.221,5.196,5.153,5.111,5.068,4.906,4.755,4.616,4.488,4.371
150,200,5.321,5.295,5.251,5.207,5.163,4.995,4.84,4.698,4.568,4.449
160,200,5.42,5.393,5.347,5.301,5.256,5.083,4.924,4.778,4.645,4.524
170,200,5.511,5.489,5.441,5.394,5.347,5.169,5.006,4.857,4.721,4.598
180,200,5.613,5.583,5.534,5.485,5.436,5.253,5.086,4.934,4.796,4.67
190,200,5.706,5.676,5.625,5.574,5.524,5.336,5.164,5.009,4.868,4.74
200,200,5.799,5.767,5.714,5.662,5.611,5.417,5.241,5.083,4.939,4.809
210,200,5.89,5.858,5.803,5.749,5.696,5.496,5.317,5.155,5.009,4.877
220,200,5.981,5.947,5.89,5.834,5.779,5.575,5.391,5.226,5.078,4.943
230,200,6.07,6.035,5.976,5.918,5.862,5.652,5.464,5.296,5.145,5.008
240,200,6.159,6.122,6.061,6.002,5.944,5.728,5.536,5.365,5.211,5.072
250,200,6.248,6.209,6.146,6.085,6.025,5.804,5.607,5.432,5.276,5.135
260,200,6.336,6.296,6.23,6.167,6.105,5.878,5.617,5.499,5.34,5.197
270,200,6.424,6.382,6.314,6.248,6.185,5.952,5.747,5.565,5.403,5.257
280,200,6.512,6.469,6.398,6.33,6.265,6.025,5.815,5.63,5.465,5.317
290,200,6.601,6.556,6.482,6.412,6.345,6.098,5.884,5.695,5.527,5.377
300,200,6.691,6.644,6.567,6.494,6.424,6.171,5.952,5.759,5.589,5.436
0,400,3.513,3.505,3.489,3.471,3.451,3.366,3.278,3.19,3.104,3.022
10,400,3.658,3.648,3.629,3.609,3.588,3.497,3.403,3.311,3.223,3.138
20,400,3.798,3.787,3.766,3.744,3.72,3.623,3.525,3.43,3.338,3.251
25,400,3.866,3.855,3.833,3.81,3.785,3.685,3.585,3.488,3.394,3.306
30,400,3.934,3.922,3.899,3.875,3.85,3.746,3.644,3.544,3.449,3.36
40,400,4.066,4.052,4.028,4.002,3.975,3.866,3.759,3.655,3.557,3.465
50,400,4.194,4.179,4.153,4.125,4.096,3.982,3.87,3.763,3.662,3.567
60,400,4.318,4.302,4.274,4.244,4.214,4.094,3.978,3.867,3.763,3.666
70,400,4.439,4.422,4.391,4.36,4.329,4.203,4.083,3.969,3.862,3.762
80,400,4.556,4.538,4.506,4.473,4.44,4.309,4.184,4.067,3.957,3.855
90,400,4.67,4.651,4.618,4.583,4.549,4.413,4.283,4.162,4.05,3.946
100,400,4.782,4.761,4.726,4.69,4.654,4.513,4.3811,4.255,4.14,4.033
110,400,4.89,4.869,4.832,4.795,4.757,4.611,4.474,4.346,4.227,4.118
120,400,4.997,4.974,4.936,4.897,4.858,4.707,4.565,4.434,4.313,4.201
130,400,5.1,5.077,5.037,4.996,4.956,4.8,4.654,4.52,4.396,4.282
140,400,5.202,5.178,5.136,5.094,5.052,4.891,4.741,4.604,4.477,4.36
150,400,5.302,5.276,5.233,5.189,5.146,4.98,4.826,4.685,4.556,4.437
160,400,5.399,5.373,5.328,5.283,5.238,5.067,4.909,4.765,4.633,4.512
170,400,5.495,5.468,5.421,5.374,5.328,5.152,4.991,4.843,4.708,4.585
180,400,5.589,5.56,5.512,5.464,5.416,5.235,5.07,4.919,4.782,4.657
190,400,5.681,5.652,5.602,5.552,5.503,5.317,5.148,4.994,4.854,4.727
200,400,5.772,5.742,5.69,5.638,5.588,5.397,5.224,5.067,4.925,4.795
210,400,5.862,5.83,5.776,5.723,5.671,5.476,5.299,5.139,4.994,4.863
220,400,5.951,5.917,5.862,5.807,5.754,5.553,5.372,5.209,5.062,4.928
230,400,6.038,6.003,5.946,5.89,5.835,5.628,5.444,5.278,5.128,4.993
240,400,6.124,6.089,6.029,5.971,5.914,5.703,5.514,5.346,5.194,5.057
250,400,6.21,6.173,6.112,6.052,5.993,5.776,5.584,5.412,5.258,5.119
260,400,6.295,6.257,6.193,6.131,6.071,5.849,5.652,5.477,5.321,5.18
270,400,6.38,6.34,6.274,6.21,6.148,5.92,5.72,5.542,5.383,5.241
280,400,6.464,6.422,6.354,6.288,6.225,5.991,5.786,5.606,5.445,5.301
290,400,6.548,6.505,6.434,6.366,6.301,6.061,5.852,5.668,5.505,5.36
300,400,6.632,6.587,6.514,6.444,6.376,6.13,5.917,5.731,5.566,5.419
0,600,3.511,3.502,3.486,3.467,3.447,3.361,3.272,3.183,3.097,3.016
10,600,3.654,3.644,3.625,3.604,3.582,3.491,3.397,3.305,3.216,3.131
20,600,3.792,3.781,3.76,3.738,3.714,3.617,3.519,3.423,3.331,3.243
25,600,3.86,3.848,3.826,3.803,3.779,3.678,3.578,3.48,3.387,3.298
30,600,3.927,3.915,3.892,3.867,3.842,3.739,3.636,3.537,3.442,3.352
40,600,4.058,4.044,4.02,3.993,3.967,3.858,3.751,3.648,3.55,3.458
50,600,4.185,4.17,4.144,4.116,4.087,3.973,3.861,3.755,3.654,3.559
60,600,4.308,4.292,4.264,4.234,4.205,4.085,3.969,3.859,3.755,3.658
70,600,4.428,4.411,4.381,4.35,4.318,4.193,4.073,3.96,3.853,3.754
80,600,4.544,4.526,4.495,4.462,4.429,4.299,4.175,4.058,3.948,3.847
90,600,4.657,4.639,4.605,4.571,4.537,4.402,4.273,4.153,4.041,3.937
100,600,4.768,4.718,4.713,4.677,4.642,4.502,4.369,4.245,4.13,4.024
110,600,4.876,4.855,4.818,4.781,4.744,4.599,4.462,4.335,4.218,4.109
120,600,4.981,4.959,4.921,4.882,4.844,4.694,4.553,4.423,4.302,4.191
130,600,5.084,5.061,5.021,4.981,4.941,4.787,4.642,4.509,4.38,4.272
140,600,5.185,5.161,5.12,5.078,5.031,4.877,4.729,4.592,4.466,4.35
150,600,5.283,5.258,5.216,5.173,5.13,4.966,4.813,4.673,4.544,4.426
160,600,5.38,5.354,5.309,5.265,5.221,5.052,4.896,4.753,4.621,4.501
170,600,5.474,5.447,5.401,5.356,5.31,5.136,4.976,4.83,4.696,4.573
180,600,5.567,5.539,5.492,5.444,5.397,5.219,5.055,4.906,4.769,4.645
190,600,5.659,5.629,5.58,5.531,5.483,5.3,5.132,4.98,4.841,4.714
200,600,5.748,5.718,5.667,5.617,5.567,5.379,5.208,5.052,4.911,4.782
210,600,5.836,5.805,5.753,5.7,5.649,5.456,5.282,5.123,4.98,4.849
220,600,5.923,5.891,5.837,5.783,5.73,5.533,5.354,5.193,5.047,4.914
230,600,6.009,5.975,5.919,5.864,5.81,5.607,5.425,5.261,5.113,4.979
240,600,6.094,6.059,6.001,5.944,5.888,5.68,5.495,5.328,5.178,5.042
250,600,6.177,6.141,6.081,6.023,5.965,5.753,5.563,5.394,5.241,5.104
260,600,6.26,6.223,6.161,6.1,6.042,5.823,5.63,5.458,5.304,5.165
270,600,6.342,6.318,6.239,6.177,6.117,5.893,5.696,5.521,5.365,5.225
280,600,6.423,6.383,6.317,6.253,6.191,5.962,5.761,5.583,5.426,5.284
290,600,6.504,6.462,6.394,6.328,6.264,6.029,5.824,5.645,5.486,5.343
300,600,6.585,6.541,6.47,6.402,6.336,6.096,5.887,5.705,5.545,5.402
0,800,3.508,3.499,3.482,3.463,3.442,3.356,3.266,3.177,3.091,3.009
10,800,3.649,3.639,3.62,3.599,3.577,3.485,3.391,3.298,3.209,3.124
20,800,3.786,3.775,3.754,3.731,3.708,3.61,3.512,3.416,3.324,3.236
25,800,3.854,3.842,3.82,3.796,3.772,3.671,3.571,3.476,3.38,3.291
30,800,3.92,3.908,3.885,3.866,3.835,3.732,3.629,3.53,3.435,3.345
40,800,4.05,4.036,4.012,3.985,3.959,3.85,3.743,3.54,3.542,3.45
50,800,4.176,4.161,4.135,4.107,4.079,3.964,3.853,3.747,3.646,3.552
60,800,4.298,4.282,4.254,4.225,4.195,4.076,3.96,3.95,3.747,3.65
70,800,4.417,4.4,4.37,4.34,4.308,4.184,4.064,3.951,3.845,3.746
80,800,4.532,4.515,4.483,4.451,4.418,4.289,4.165,4.048,3.94,3.838
90,800,4.645,4.626,4.593,4.559,4.525,4.391,4.263,4.143,4.032,3.928
100,800,4.755,4.735,4.7,4.665,4.63,4.491,4.359,4.235,4.121,4.015
110,800,4.862,4.841,4.805,4.768,4.731,4.587,4.452,4.325,4.208,4.113
120,800,4.966,4.945,4.907,4.869,4.831,4.682,4.542,4.413,4.293,4.182
130,800,5.068,5.046,5.007,4.967,4.927,4.774,4.631,4.498,4.375,4.262
140,800,5.168,5.145,5.104,5.063,5.022,4.864,4.717,4.581,4.455,4.34
150,800,5.266,5.241,5.199,5.157,5.114,4.952,4.801,4.662,4.533,4.416
160,800,5.361,5.336,5.292,5.248,5.205,5.038,4.883,4.741,4.61,4.49
170,800,5.455,5.429,5.383,5.338,5.293,5.121,4.963,4.818,4.684,4.562
180,800,5.547,5.52,5.473,5.426,5.38,5.203,5.041,4.893,4.757,4.633
190,800,5.637,5.609,5.56,5.512,5.465,5.283,5.118,4.967,4.829,4.702
200,800,5.726,5.696,5.646,5.597,5.548,5.362,5.193,5.039,4.898,4.77
210,800,5.813,5.782,5.731,5.679,5.629,5.439,5.266,5.109,4.966,4.836
220,800,5.898,5.867,5.813,5.761,5.709,5.514,5.338,5.178,5.033,4.901
230,800,5.983,5.95,5.895,5.841,5.787,5.588,5.408,5.246,5.099,4.965
240,800,6.066,6.032,5.975,5.919,5.865,5.66,5.417,5.312,5.163,5.028
250,800,6.148,6.113,6.054,5.997,5.94,5.731,5.544,5.377,5.226,5.089
260,800,6.229,6.192,6.132,6.073,6.015,5.8,5.61,5.44,5.288,5.15
270,800,6.309,6.271,6.209,6.148,6.088,5.869,5.675,5.502,5.348,5.21
280,800,6.388,6.349,6.285,6.222,6.161,5.936,5.738,5.564,5.408,5.269
290,800,6.467,6.426,6.359,6.294,6.232,6.001,5.8,5.624,5.467,5.327
300,800,6.545,6.502,6.433,6.366,6.302,6.066,5.861,5.683,5.526,5.386
0,1000,3.504,3.495,3.477,3.458,3.437,3.35,3.26,3.171,3.085,3.002
10,1000,3.644,3.634,3.634,3.593,3.571,3.478,3.384,3.292,3.202,3.117
20,1000,3.76,3.769,3.748,3.725,3.701,3.603,3.505,3.409,3.317,3.229
25,1000,3.847,3.835,3.813,3.789,3.765,3.664,3.564,3.466,3.373,3.284
30,1000,3.913,3.9,3.817,3.853,3.828,3.724,3.622,3.522,3.427,3.337
40,1000,4.042,4.028,4.004,3.977,3.951,3.842,3.735,3.632,3.535,3.442
50,1000,4.167,4.152,4.126,4.098,4.07,3.956,3.845,3.739,3.638,3.544
60,1000,4.288,4.273,4.245,4.216,4.186,4.067,3.951,3.842,3.739,3.642
70,1000,4.406,4.39,4.36,4.329,4.298,4.174,4.055,3.942,3.836,3.738
80,1000,4.521,4.504,4.472,4.44,4.408,4.219,4.156,4.04,3.931,3.83
90,1000,4.633,4.615,4.582,4.548,4.514,4.381,4.253,4.134,4.023,3.92
100,1000,4.742,4.723,4.688,4.653,4.615,4.48,4.349,4.226,4.112,4.006
110,1000,4.848,4.828,4.792,4.756,4.719,4.576,4.441,4.315,4.199,4.091
120,1000,4.952,4.931,4.893,4.856,4.818,4.67,4.531,4.401,4.283,4.173
130,1000,5.053,5.031,4.992,4.953,4.914,4.762,4.619,4.487,4.365,4.252
140,1000,5.152,5.129,5.089,5.048,5.008,4.851,4.705,4.57,4.4015,4.33
150,1000,5.249,5.225,5.183,5.141,5.1,4.939,4.789,4.65,4.523,4.406
160,1000,5.344,5.319,5.276,5.233,5.189,5.024,4.87,4.729,4.599,4.479
170,1000,5.437,5.411,5.366,5.322,5.277,5.101,4.95,4.806,4.673,4.551
180,1000,5.528,5.501,5.455,5.409,5.363,5.188,5.028,4.881,4.746,4.622
190,1000,5.617,5.589,5.542,5.494,5.447,5.268,5.104,4.954,4.817,4.691
200,1000,5.705,5.616,5.627,5.578,5.529,5.346,5.178,5.025,4.886,4.758
210,1000,5.791,5.761,5.71,5.66,5.61,5.422,5.251,5.095,4.954,4.824
220,1000,5.875,5.844,5.792,5.74,5.689,5.497,5.322,5.164,5.02,4.889
230,1000,5.959,5.926,5.872,5.819,5.767,5.569,5.392,5.231,5.085,4.952
240,1000,6.041,6.007,5.951,5.897,5.843,5.641,5.46,5.296,5.149,5.014
250,1000,6.121,6.087,6.029,5.973,5.917,5.711,5.526,5.361,5.211,5.075
260,1000,6.201,6.165,6.106,6.048,5.991,5.779,5.591,5.424,5.273,5.136
270,1000,6.279,6.242,6.181,6.121,6.063,5.847,5.655,5.485,5.333,5.195
280,1000,6.357,6.319,6.255,6.194,6.134,5.912,5.718,5.546,5.392,5.254
290,1000,6.434,6.394,6.329,6.265,6.203,5.976,5.779,5.605,5.45,5.312
300,1000,6.51,6.468,6.401,6.335,6.271,6.039,5.838,5.663,5.508,5.37
